Om,H0,alpha,beta,chi2
0.334,73.04,0.2047912097111927,3.398303334133524,1716.998777567577
0.334,73.04,0.13777568795041045,4.244326840759312,1745.046986755094
0.334,73.04,0.22171958398227648,2.6951461726278776,1868.2716752831893
0.334,73.04,0.18947360581187278,2.0649438998664023,1767.246051008651
0.334,73.04,0.06883546957752991,3.939137509209804,1987.7509789636918
0.334,73.04,0.24512447032735118,3.7559441499299298,2212.456680801525
0.334,73.04,0.20222794039807063,3.363729114185484,1692.6558302218825
0.334,73.04,0.20721286105539077,4.0383568243230314,1904.6313727367485
0.334,73.04,0.07562272653510918,4.100210931620332,1988.0551591275967
0.334,73.04,0.14007718757911342,3.4697582700454346,1490.8171700809419
0.334,73.04,0.12415960484651625,4.414819479634843,1856.980601409159
0.334,73.04,0.23535299776972035,3.799279869043318,2103.3317601730105
0.334,73.04,0.17877302401613293,3.692188440406572,1614.8276161047747
0.334,73.04,0.21455232265416602,2.9035544813966134,1779.166005159542
0.334,73.04,0.13868283976546625,2.005646446500019,1648.6749945257297
0.334,73.04,0.09544774435695538,2.602356684735445,1631.300925979739
0.334,73.04,0.16091695740316697,3.909801267036575,1621.5111746741802
0.334,73.04,0.06276345122083507,3.7746781360929353,1994.5076869603788
0.334,73.04,0.21552623439851643,2.8275553620752354,1793.3982508955999
0.334,73.04,0.17633287982441298,3.5639574363460973,1574.5721144857966
0.334,73.04,0.20161754801707477,2.488218698682843,1725.8601365209513
0.334,73.04,0.12090519362597368,2.65906929817261,1507.2355503256863
0.334,73.04,0.24413960487898068,4.368520234756241,2439.020096704019
0.334,73.04,0.22862422426443957,3.0329514323389866,1917.5899850404053
0.334,73.04,0.20567669941475236,2.612468985747136,1734.2226367832502
0.334,73.04,0.08892774157039351,3.2177706170974787,1653.83231343071
0.334,73.04,0.14334420074540682,2.9675396994684156,1450.4490271329826
0.334,73.04,0.05876075315744576,3.823822593372764,2053.4560369824626
0.334,73.04,0.08085789841350957,4.405290266227203,2091.5021563404184
0.334,73.04,0.18660979064849093,3.47934356114423,1608.0999545207444
0.334,73.04,0.19895243118156342,3.477867967342288,1685.6245140581352
0.334,73.04,0.24350194648684204,2.9120846468087076,2099.5293570426456
0.334,73.04,0.1151650716276304,3.4115773299382384,1534.5326163234186
0.334,73.04,0.12409194120697378,2.7983221659678454,1483.503974296332
0.334,73.04,0.1439111622551616,2.002730185780855,1648.9342638442681
0.334,73.04,0.08789427181685715,4.165240432196213,1916.2356307035582
0.334,73.04,0.07598430106709433,3.073610213804263,1748.411378458538
0.334,73.04,0.14514098524518676,3.2302212126349916,1458.912055442906
0.334,73.04,0.09538186981017682,2.2087522885648205,1722.134928680986
0.334,73.04,0.18396279893650208,4.09277628351348,1773.2701961968032
0.334,73.04,0.13743038377446615,2.4258426759439757,1519.5308266422517
0.334,73.04,0.2165356392115675,3.0265528969607898,1793.974170310805
0.334,73.04,0.19005302040044986,4.100663867659703,1809.8118122744465
0.334,73.04,0.11247332827640821,3.1444573505337985,1516.9017708123472
0.334,73.04,0.21645196027904023,4.327880838666159,2112.7528712870444
0.334,73.04,0.21095287149936037,2.523285758551724,1795.0675758941084
0.334,73.04,0.12749567580603488,3.7880820748869284,1583.9616089344902
0.334,73.04,0.10766562078604883,4.444996308904319,1936.2928282753685
0.334,73.04,0.1864991007949951,3.3740340930507773,1591.4020405354252
0.334,73.04,0.07795049672186197,3.7304597466099825,1835.4526775354293
0.334,73.04,0.08998164049502166,2.983066649002521,1637.0015242876523
0.334,73.04,0.05147245395020111,3.8783433493136723,2156.3180994523204
0.334,73.04,0.20738487550042767,4.272185141309323,2007.0148968846756
0.334,73.04,0.18297017131840643,3.757638917626323,1652.2563040577393
0.334,73.04,0.191033075725267,4.339821778452448,1925.4713629043802
0.334,73.04,0.2061458062043936,3.471631629980774,1739.015783423264
0.334,73.04,0.14178315510766798,3.4428436011274073,1485.5088078156634
0.334,73.04,0.16374823919057874,2.7615684702728887,1489.360087338612
0.334,73.04,0.0779593996255315,3.774068727909465,1848.197432367005
0.334,73.04,0.0729060147071947,4.204881304390389,2059.9949342907203
0.334,73.04,0.18368059235809436,3.615790565322328,1619.8279488017367
0.334,73.04,0.1442192412286265,2.5825980514964573,1486.471104407727
0.334,73.04,0.16304722129623778,3.3602727868042166,1496.213280638052
0.334,73.04,0.20299977148320514,3.8898435423785376,1818.435066052468
0.334,73.04,0.17694366400011818,4.348408287181882,1858.82334303178
0.334,73.04,0.16071588013159915,2.391490123801385,1545.8730622699238
0.334,73.04,0.1618414321490827,2.3187427274164016,1567.3487458612933
0.334,73.04,0.11079001961252244,3.032358825582265,1520.294489139028
0.334,73.04,0.056163566913587884,2.314027923656527,2033.659159607908
0.334,73.04,0.1373434778464725,4.451072281262796,1852.1848071015622
0.334,73.04,0.09291693456390585,3.060760918206398,1617.8430382254157
0.334,73.04,0.13170572874492725,3.3340262976697623,1479.3403209755597
0.334,73.04,0.22068061465363326,2.5677194532319283,1878.1494952117475
0.334,73.04,0.09678789717306815,3.1228153088423234,1595.5169068726532
0.334,73.04,0.061660548337813204,4.461734837153049,2307.1747971768987
0.334,73.04,0.10627677840439931,3.2217178784174236,1549.976446542852
0.334,73.04,0.10871875155333673,2.0220598145112154,1715.827031018335
0.334,73.04,0.18238330294537902,2.6063188256265764,1581.842197208412
0.334,73.04,0.16140643046825567,4.44613707619626,1862.364436411071
0.334,73.04,0.20677964182128272,4.4726687835268315,2105.6032678487472
0.334,73.04,0.1828627080654775,2.5262327244292644,1598.6872493830072
0.334,73.04,0.13127737228801412,3.5381602196096336,1513.547212438476
0.334,73.04,0.21280407693320696,2.192270826263536,1899.1754667633884
